id,name,family,state,charge,mult_hint,n_e,n_conf,solv_preopt,smiles
pyridinium,N-benzylpyridinium,pyridine,ox,1,1,0,2,1,Cc1ccc(C[n+]2ccccc2)cc1
pyridinium,N-benzylpyridinium,pyridine,red,0,2,-1,2,0,Cc1ccc(C[n+]2ccccc2)cc1
cyanopyridinium,N-benzyl-4-cyanopyridinium,pyridine,ox,1,1,0,4,1,Cc1ccc(C[n+]2ccc(C#N)cc2)cc1
cyanopyridinium,N-benzyl-4-cyanopyridinium,pyridine,red,0,2,-1,4,0,Cc1ccc(C[n+]2ccc(C#N)cc2)cc1
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,ox2,2,1,0,10,1,Cc1ccc(C[n+]2ccc(-c3cc[n+](C)cc3)cc2)cc1
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,ox1,1,2,-1,10,1,Cc1ccc(C[n+]2ccc(-c3cc[n+](C)cc3)cc2)cc1
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,neu,0,1,-2,10,0,Cc1ccc(C[n+]2ccc(-c3cc[n+](C)cc3)cc2)cc1
phenothiazine,N-benzylphenothiazine,amine (p-type),neu,0,1,0,5,0,Cc1ccc(CN2c3ccccc3Sc3ccccc32)cc1
phenothiazine,N-benzylphenothiazine,amine (p-type),ox,1,2,1,5,1,Cc1ccc(CN2c3ccccc3Sc3ccccc32)cc1
tempo,4-(benzyloxy)-TEMPO,nitroxide,rad,0,2,0,10,0,Cc1ccc(COC2CC(C)(C)N([O])C(C)(C)C2)cc1
tempo,4-(benzyloxy)-TEMPO,nitroxide,ox,1,1,1,10,1,Cc1ccc(COC2CC(C)(C)N([O])C(C)(C)C2)cc1
tempo,4-(benzyloxy)-TEMPO,nitroxide,red,-1,1,-1,10,1,Cc1ccc(COC2CC(C)(C)N([O])C(C)(C)C2)cc1
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),neu,0,1,0,10,0,Cc1ccc(COCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),red1,-1,2,-1,10,1,Cc1ccc(COCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),red2,-2,1,-2,10,1,Cc1ccc(COCc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1
ferrocene,ferrocene (internal reference),validation,neu,0,1,0,1,,[Fe].c1ccc[cH-]1.c1ccc[cH-]1
ferrocene,ferrocene (internal reference),validation,ox,1,2,1,1,,[Fe].c1ccc[cH-]1.c1ccc[cH-]1
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,ox2,2,1,0,6,,C[n+]1ccc(-c2cc[n+](C)cc2)cc1
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,ox1,1,2,-1,6,,C[n+]1ccc(-c2cc[n+](C)cc2)cc1
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,neu,0,1,-2,6,,C[n+]1ccc(-c2cc[n+](C)cc2)cc1
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,rad,0,2,0,10,,CC1(C)CCCC(C)(C)N1[O]
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,ox,1,1,1,10,,CC1(C)CCCC(C)(C)N1[O]
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,red,-1,1,-1,10,,CC1(C)CCCC(C)(C)N1[O]
phenothiazine_parent,10H-phenothiazine,validation,neu,0,1,0,1,,c1ccc2c(c1)Nc1ccccc1S2
phenothiazine_parent,10H-phenothiazine,validation,ox,1,2,1,1,,c1ccc2c(c1)Nc1ccccc1S2
anthraquinone_parent,"9,10-anthraquinone",validation,neu,0,1,0,1,,O=C1c2ccccc2C(=O)c2ccccc21
anthraquinone_parent,"9,10-anthraquinone",validation,red1,-1,2,-1,1,,O=C1c2ccccc2C(=O)c2ccccc21
anthraquinone_parent,"9,10-anthraquinone",validation,red2,-2,1,-2,1,,O=C1c2ccccc2C(=O)c2ccccc21
methylpyridinium,N-methylpyridinium,validation,ox,1,1,0,1,,C[n+]1ccccc1
methylpyridinium,N-methylpyridinium,validation,red,0,2,-1,1,,C[n+]1ccccc1
